,SENDER_SITE_LOC_ID,RECEIVER_SITE_LOC_ID,ITEMS_TOTAL_AMOUNT,INVOICED_ENTITY_LOC_ID,INVOICING_ENTITY_LOC_ID,INVOICE_NUMBER,GROUPING_ID,CUSTOMS_REGIME_CODE,year,month,day,LAT_SENDER,LON_SENDER,LAT_RECEIVER,LON_RECEIVER
0,15793,16021,200541749408,25823,16222,8355417,137861,1000,2017,5,2,44.34,26.03,48.83,2.35
1,15793,16021,28521692304,25823,16222,8380266,140173,1000,2017,7,18,44.34,26.03,48.83,2.35
2,15793,16021,34084668024,25823,16222,8356202,137006,4000,2017,5,3,44.34,26.03,48.83,2.35
3,15793,16021,5292972000,25823,16222,8355463,136799,4000,2017,5,2,44.34,26.03,48.83,2.35
4,15705,8415,529618987,24912,16222,8385160,140265,1000,2017,8,3,59.88,10.13,33.23,-5.61
5,15695,16021,87400,25823,16222,8383523,140271,4000,2017,7,28,40.33,-3.68,48.83,2.35
6,15793,50899,11336936,16222,1298112186,58056,393043,1000,2017,7,11,44.34,26.03,41.88,12.48
7,15695,16021,145860,25823,16222,8380336,140161,4000,2017,7,18,40.33,-3.68,48.83,2.35
8,15793,16021,5632544000,25823,16222,8380252,140150,4000,2017,7,18,44.34,26.03,48.83,2.35
9,15695,16021,75600,25823,16222,8380335,140158,1000,2017,7,18,40.33,-3.68,48.83,2.35
10,15793,16021,5632544000,25823,16222,8380367,140167,4000,2017,7,18,44.34,26.03,48.83,2.35
11,15695,16021,105000,25823,16222,8380334,140157,4000,2017,7,18,40.33,-3.68,48.83,2.35
12,15793,16021,619489728,25823,16222,8355417,137861,2100,2017,5,2,44.34,26.03,48.83,2.35
13,15705,8415,529618987,24912,16222,8385160,140266,4000,2017,8,3,59.88,10.13,33.23,-5.61
14,15793,16021,13641992760,25823,16222,8355469,136805,4000,2017,5,2,44.34,26.03,48.83,2.35
15,15695,15572,25992,24580,16222,8381004,140168,1000,2017,7,19,40.33,-3.68,39.9,34.73
16,15695,16021,163300,25823,16222,8380333,140154,1000,2017,7,18,40.33,-3.68,48.83,2.35
17,15695,16021,75600,25823,16222,8380332,140152,1000,2017,7,18,40.33,-3.68,48.83,2.35
18,15793,16021,5292972000,25823,16222,8355465,136801,4000,2017,5,2,44.34,26.03,48.83,2.35
19,7597,15710,851859481,17611,16222,282965018,461615,4000,2018,1,8,55.75,37.63,51.446,-0.18
20,15793,16021,17690423720,25823,16222,8355434,136814,4000,2017,5,2,44.34,26.03,48.83,2.35
21,15695,16021,5800000,25823,16222,8380337,140169,1000,2017,7,18,40.33,-3.68,48.83,2.35
22,15793,16021,17307756223,25823,16222,8355415,137856,1000,2017,5,2,44.34,26.03,48.83,2.35
23,15695,16021,75600,25823,16222,8380332,140153,4000,2017,7,18,40.33,-3.68,48.83,2.35
24,15801,16021,6265924128,25823,16222,8380346,140162,1000,2017,7,18,59.21,17.9,48.83,2.35
25,15695,16021,23880,25823,16222,8383521,140268,1000,2017,7,28,40.33,-3.68,48.83,2.35
26,15695,16021,87400,25823,16222,8383523,140270,1000,2017,7,28,40.33,-3.68,48.83,2.35
27,15793,16021,13641992760,25823,16222,8355469,136803,1000,2017,5,2,44.34,26.03,48.83,2.35
28,15793,16021,201161239136,25823,16222,8355417,137862,4000,2017,5,2,44.34,26.03,48.83,2.35
29,7597,15710,275566339,17611,16222,282964914,461457,1000,2018,1,8,55.75,37.63,51.446,-0.18
30,7597,15710,524884448,17611,16222,282914183,140175,1000,2017,7,17,55.75,37.63,51.446,-0.18
31,15695,16021,163300,25823,16222,8380333,140155,4000,2017,7,18,40.33,-3.68,48.83,2.35
32,15793,16021,34084668024,25823,16222,8356202,137005,1000,2017,5,3,44.34,26.03,48.83,2.35
33,7597,15710,275566339,17611,16222,282964914,461458,4000,2018,1,8,55.75,37.63,51.446,-0.18
34,15793,16021,20151965775,25823,16222,8355413,137859,4000,2017,5,2,44.34,26.03,48.83,2.35
35,15793,16021,20151965775,25823,16222,8355413,137857,1000,2017,5,2,44.34,26.03,48.83,2.35
36,15695,16021,23880,25823,16222,8383521,140269,4000,2017,7,28,40.33,-3.68,48.83,2.35
37,15793,16021,34319832855,25823,16222,8355468,136806,4000,2017,5,2,44.34,26.03,48.83,2.35
38,15793,16021,34319832855,25823,16222,8355468,136804,1000,2017,5,2,44.34,26.03,48.83,2.35
39,15695,16021,5800000,25823,16222,8380337,140170,4000,2017,7,18,40.33,-3.68,48.83,2.35
40,15793,16021,5632544000,25823,16222,8380367,140166,1000,2017,7,18,44.34,26.03,48.83,2.35
41,15793,16021,17690423720,25823,16222,8355434,136812,1000,2017,5,2,44.34,26.03,48.83,2.35
42,15801,16021,6265924128,25823,16222,8380346,140163,4000,2017,7,18,59.21,17.9,48.83,2.35
43,15793,16021,17307756223,25823,16222,8355415,137858,4000,2017,5,2,44.34,26.03,48.83,2.35
44,15695,16021,75600,25823,16222,8380335,140159,4000,2017,7,18,40.33,-3.68,48.83,2.35
45,15793,16021,5632544000,25823,16222,8380252,140149,1000,2017,7,18,44.34,26.03,48.83,2.35
46,8627,16021,28521692304,25823,16222,8380266,140174,4000,2017,7,18,51.82,10.38,48.83,2.35
47,15793,16021,5292972000,25823,16222,8355465,136798,1000,2017,5,2,44.34,26.03,48.83,2.35
48,15793,12034,23928076,58056,16222,8380274,394985,1000,2017,7,18,44.34,26.03,28.39,76.748
49,15695,16021,145860,25823,16222,8380336,140160,1000,2017,7,18,40.33,-3.68,48.83,2.35
50,7597,15710,851859481,17611,16222,282965018,461614,1000,2018,1,8,55.75,37.63,51.446,-0.18
51,15695,16021,105000,25823,16222,8380334,140156,1000,2017,7,18,40.33,-3.68,48.83,2.35
52,15793,16021,5292972000,25823,16222,8355463,136797,1000,2017,5,2,44.34,26.03,48.83,2.35
