ITEM_ID,FLOW_END_CODE,GROUPING_ID,ITEM_CODE,REPOSITORY_ITEM_CODE,ITEM_USAGE_CODE_CLASSIFICATION,SENDER_SITE_LOC_ID,RECEIVER_SITE_LOC_ID,MAKER_TM_DESCRIPTION_LANGUAGE,MAKER_DESCRIPTION,TRADE_MARK_DESCRIPTION,OFFICIAL_DESCRIPTION,DESCRIPTION_LANGUAGE_CODE,SHORT_DESCRIPTION,ORIGIN_COUNTRY_CODE,CUSTOMS_REGIME_CODE,CUSTOMS_CODE,PREFERRED_ORIGIN_INDICATOR,SERIAL_NUMBER_LOCKED,IMPORT_LICENSE_LOCKED,HAS_ORIGIN_DEFECT,HAS_IMPORT_LICENSE_DEFECT,HAS_CUSTOMS_CODE_DEFECT,SHORT_DESC_MANDATORY,OFF_DES_MANDATORY,REGIME_AUTH,ORIGIN_COUNTRY_CODE_ARRIVAL,ORIGIN_COUNTRY_CODE_DEPARTURE,ITEM_USAGE_CODE_REGIME,ITEM_USAGE_CODE_ORIGINE,ITEM_USAGE_CODE
12510103,D,137861,391005442R,1,2,15793,16021,,,,,fr,,FR,1000,8708509990,,0,0,0,,0,0,0,,KR,FR,1,1,
12510104,D,137861,285C70506R,1,2,15793,16021,,,,,fr,,XX,1000,UnknownHS,,0,0,0,,0,0,0,,KR,FR,1,1,
11569491,D,393043,122152148R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569492,D,393043,123031297R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569493,D,393043,147258075R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569494,D,393043,166711244R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569495,D,393043,122005940R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569496,D,393043,147259753R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569497,D,393043,7703002662,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569498,D,393043,210477770R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569499,D,393043,124378807R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569500,D,393043,110100354R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569501,D,393043,7703002660,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569502,D,393043,8200805588,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569503,D,393043,210102433R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569504,D,393043,147252403R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569505,D,393043,152577731R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569506,D,393043,223651975R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569507,D,393043,7703002658,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569508,D,393043,164463195R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569509,D,393043,320934291R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569510,D,393043,140130121R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569511,D,393043,150007894R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569512,D,393043,147231581R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569513,D,393043,123112496R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569514,D,393043,130124822R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569515,D,393043,8201036353,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569516,D,393043,122236315R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11569517,D,393043,8200009120,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622756,D,394985,151082941R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622757,D,394985,8200554273,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622758,D,394985,123031297R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622759,D,394985,121115813R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622760,D,394985,150464622R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622761,D,394985,7703002500,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622762,D,394985,8200801803,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622763,D,394985,122005940R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622764,D,394985,7703002765,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622765,D,394985,7703002645,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622766,D,394985,8200805645,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622767,D,394985,8200337109,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622768,D,394985,146508418R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622769,D,394985,124378807R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622770,D,394985,110100354R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622771,D,394985,7703002761,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622772,D,394985,166334473R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622773,D,394985,922304507R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622774,D,394985,167008683R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622775,D,394985,147252403R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622776,D,394985,130214108R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622777,D,394985,8200902477,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622778,D,394985,151923552R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622779,D,394985,8200393407,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622780,D,394985,151882356R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622781,D,394985,130284752R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622782,D,394985,140361015R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622783,D,394985,122972117R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622784,D,394985,7703002658,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622785,D,394985,8200819591,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622786,D,394985,7703102069,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622787,D,394985,223259238R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622788,D,394985,150007894R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622789,D,394985,7703034304,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622790,D,394985,7703002892,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622791,D,394985,7703002661,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622792,D,394985,123112496R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622793,D,394985,130124822R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622794,D,394985,8201036353,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622795,D,394985,8200376373,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622796,D,394985,110414467R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622797,D,394985,7703002792,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622798,D,394985,7703002631,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622799,D,394985,123091465R,1,2,15793,12034,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
11622800,D,394985,122236315R,1,2,15793,50899,,,,,fr,,XX,1000,Unknown HS,,0,0,0,,0,0,0,,TH,FR,1,1,
