ITEM_ID,SUPPLIER_ITEM_CODE,ORIGIN_COUNTRY_CODE_PREF,ORIGIN_PREFERENTIAL,ORIGIN_PREF_COUNTRY_CUMUL,LTD_NUMBER,LTD_DATE,LTD_START_DATE,LTD_END_DATE,LTD_YEAR,LTD_START_DATE1,LTD_END_DATE1,LTD_YEAR1,LTD_START_DATE2,LTD_END_DATE2,LTD_YEAR2
13587103,05898201,,0,,3023319,23/03/17,01/01/17,23/02/19,2017,,,,,,
12390217,11780700,,0,,,,,,,,,,,,
13587106,09500600,,0,,,,,,,,,,,,
13587507,06234902,,0,,3021336,20/04/17,01/01/17,31/12/17,2017,,,,,,
12607214,05877908,FR,1,,3020765,22/12/16,,,,,,,,,
12607215,26307402,DE,1,,1344386,06/04/16,,,,,,,,,
12607223,06487400,,0,,,,,,,,,,,,
12607224,02695000,DE,1,,3021291,31/07/17,,,,,,,,,
12607225,25566101,DE,1,,1620863,30/05/16,,,,,,,,,
12607226,02867400,DE,1,,3021061,31/07/17,,,,,,,,,
12607206,02377900,DE,1,,3021200,21/10/16,,,,,,,,,
12609316,02296300,IT,1,,3020959,01/01/17,,,,,,,,,
12609317,00417900,FR,1,,3021042,31/07/17,,,,,,,,,
12607200,02377900,DE,1,,3021200,21/10/16,,,,,,,,,
12607203,05877908,FR,1,,3020765,22/12/16,,,,,,,,,
12607230,90018400,,0,,,,,,,,,,,,
12607231,02562800,,0,,,,,,,,,,,,
12607232,02415804,,0,,,,,,,,,,,,
12607233,01426801,,0,,,,,,,,,,,,
12607234,02562800,,0,,,,,,,,,,,,
12607235,01689201,,0,,,,,,,,,,,,
12607236,01426801,,0,,,,,,,,,,,,
12607237,02562800,,0,,,,,,,,,,,,
13587508,01426801,,0,,3023476,10/04/17,01/01/17,31/12/17,2017,,,,,,
13587100,05932500,,0,,,,,,,,,,,,
13587102,00239401,,0,,3021475,03/11/16,01/01/17,31/12/17,2017,,,,,,
13587501,00239401,,0,,3155800,31/07/17,01/01/17,31/12/17,2017,,,,,,
13587504,22102700,,0,,3021707,01/01/17,01/01/17,31/12/17,2017,,,,,,
13587513,91017700,,0,,,,,,,,,,,,
13587514,22102700,,0,,3021707,01/01/17,01/01/17,31/12/17,2017,,,,,,
13587523,29350201,,0,,3021036,31/07/17,01/01/17,31/12/17,2017,,,,,,
13587098,00239401,,0,,3155800,31/07/17,01/01/17,31/12/17,2017,,,,,,
13587505,00239401,,0,,3021475,03/11/16,01/01/17,31/12/17,2017,,,,,,
13587516,01426801,,0,,3023476,10/04/17,01/01/17,31/12/17,2017,,,,,,
13587521,22003202,,0,,3155772,30/01/17,01/01/17,31/12/17,2017,,,,,,
13587526,27593900,,0,,3021055,31/07/17,01/01/17,31/12/17,2017,,,,,,
13587107,22003202,,0,,3155772,30/01/17,01/01/17,31/12/17,2017,,,,,,
13587110,91017700,,0,,,,,,,,,,,,
13587117,01650000,,0,,,,,,,,,,,,
13587118,22003202,,0,,3155772,30/01/17,01/01/17,31/12/17,2017,,,,,,
