TRANSPORT_ID,IDENTIFIER_NUMBER,REGISTRATION_NUMBER_1,REGISTRATION_NUMBER_2,DEPARTURE_DATE,NAT_TRANSPORT_MODE_CODE,INTL_TRANSPORT_MODE_CODE,NATIONALITY,CUSTOMS_OFFICE,CMR_NUMBER,CMR_DATE,TIR_NUMBER,TIR_DATE,CARRIER_CODE,HAS_IDENTIFIER_DEFECT,HAS_CMR_NUMBER_DEFECT,HAS_TIR_NUMBER_DEFECT,HAS_TIR_DATE_DEFECT,HAS_CMR_DATE_DEFECT,HAS_CUSTOMS_OFFICE_DEFECT,HAS_TRANSPORT_DEFECT
569215,0622409,DJ870RR,,24/10/16,3,3,FR,BE343000,,,,,,,,,,,,
569216,0622409,DJ870RR,,24/10/16,3,3,FR,BE343000,,,,,,0,,,,,,2
581607,,,,07/12/16,3,1,RO,DE002452,,,,,P&ONED,,,,,,,
581608,,,,07/12/16,3,1,RO,,,,,,P&ONED,,,,,,,
582059,,,,07/12/16,3,1,RO,DE002452,,,,,P&ONED,0,0,0,0,0,0,0
620459,,#16005179001,,30/09/16,,4,,,,,,,,,,,,,,
620460,,#16005179001,,30/09/16,,4,,,,,,,,0,0,0,0,0,0,0
619578,RAF160384,GLORIOUS LEADER,,25/03/17,3,3,,,,,,,,,,,,,,
625499,,,,22/11/16,,1,,,,,,,,,,,,,,
625500,,,,22/11/16,,1,,,,,,,,0,0,0,0,0,,2
766841,,,,12/07/17,3,1,FR,FR002300,,,,,NPT/NP2,0,0,0,0,0,,2
770685,,,,18/07/17,3,1,FR,FR002300,,,,,MIXAGE,0,0,0,0,0,,2
766195,,,,12/07/17,3,1,FR,FR002300,,,,,NPT/NP2,0,0,0,0,0,,2
770533,,,,18/07/17,3,1,FR,FR002300,,,,,MIXAGE,0,0,0,0,0,,2
608822,,VRJBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
608824,,VMJBK,,13/09/17,3,3,IT,FR00678A,,,,,,,,,,,,
