,SENDER_SITE_LOC_ID,month,sum(ITEMS_TOTAL_AMOUNT)
0,15801,7,12531848256.0
1,7597,7,524884448.0
2,8627,7,28521692304.0
3,15793,5,697887644986.0
4,15705,8,1059237974.0
5,15695,7,12979272.0
6,15793,7,51087133316.0
7,15801,1,0.0
8,15801,2,0.0
9,15801,3,0.0
10,15801,4,0.0
11,15801,5,0.0
12,15801,6,0.0
13,15801,8,0.0
14,15801,9,0.0
15,15801,10,0.0
16,15801,11,0.0
17,15801,12,0.0
18,7597,1,0.0
19,7597,2,0.0
20,7597,3,0.0
21,7597,4,0.0
22,7597,5,0.0
23,7597,6,0.0
24,7597,8,0.0
25,7597,9,0.0
26,7597,10,0.0
27,7597,11,0.0
28,7597,12,0.0
29,8627,1,0.0
30,8627,2,0.0
31,8627,3,0.0
32,8627,4,0.0
33,8627,5,0.0
34,8627,6,0.0
35,8627,8,0.0
36,8627,9,0.0
37,8627,10,0.0
38,8627,11,0.0
39,8627,12,0.0
40,15793,1,0.0
41,15793,2,0.0
42,15793,3,0.0
43,15793,4,0.0
44,15793,6,0.0
45,15793,8,0.0
46,15793,9,0.0
47,15793,10,0.0
48,15793,11,0.0
49,15793,12,0.0
50,15705,1,0.0
51,15705,2,0.0
52,15705,3,0.0
53,15705,4,0.0
54,15705,5,0.0
55,15705,6,0.0
56,15705,7,0.0
57,15705,9,0.0
58,15705,10,0.0
59,15705,11,0.0
60,15705,12,0.0
61,15695,1,0.0
62,15695,2,0.0
63,15695,3,0.0
64,15695,4,0.0
65,15695,5,0.0
66,15695,6,0.0
67,15695,8,0.0
68,15695,9,0.0
69,15695,10,0.0
70,15695,11,0.0
71,15695,12,0.0
